NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
NMUR1	1	NMUR1	
ABCB9	1	ABCB9	
GHRHR	1	GHRHR	
PIGU	1	PIGU	
PIGZ	1	PIGZ	
PIGW	1	PIGW	
PIGV	1	PIGV	
LMBR1	1	LMBR1	
ROM1	1	ROM1	
PIGB	1	PIGB	
PIGM	1	PIGM	
SLCO1B1	1	SLCO1B1	
PORCN	1	PORCN	
SLCO1B3	1	SLCO1B3	
SLCO1A2	1	SLCO1A2	
CCR9	1	CCR9	
CCR6	1	CCR6	
CCR2	1	CCR2	
DPAGT1	1	DPAGT1	
SLC1A1	1	SLC1A1	
SLC1A2	1	SLC1A2	
SLC1A3	1	SLC1A3	
SLC1A4	1	SLC1A4	
SLC1A5	1	SLC1A5	
SLC1A6	1	SLC1A6	
SLC1A7	1	SLC1A7	
SLC19A3	1	SLC19A3	
SLC19A1	1	SLC19A1	
SLC19A2	1	SLC19A2	
NDC1	1	NDC1	
DHCR7	1	DHCR7	
CDS1	1	CDS1	
TMTC4	1	TMTC4	
CDS2	1	CDS2	
TRAM1	1	TRAM1	
TRAM2	1	TRAM2	
APLNR	1	APLNR	
SLC2A9	1	SLC2A9	
SLC2A1	1	SLC2A1	
SLC2A2	1	SLC2A2	
SLC2A3	1	SLC2A3	
SLC2A4	1	SLC2A4	
SLC2A5	1	SLC2A5	
SLC2A6	1	SLC2A6	
SLC2A7	1	SLC2A7	
SLC2A8	1	SLC2A8	
AGTR2	1	AGTR2	
PTAFR	1	PTAFR	
HTR1E	1	HTR1E	
KCNK6	1	KCNK6	
HTR5A	1	HTR5A	
GRPR	1	GRPR	
MTNR1A	1	MTNR1A	
MTNR1B	1	MTNR1B	
SLC35C2	1	SLC35C2	
SLC35C1	1	SLC35C1	
XCR1	1	XCR1	
SLC35F6	1	SLC35F6	
FPR1	1	FPR1	
FPR3	1	FPR3	
FPR2	1	FPR2	
NIPA2	1	NIPA2	
YIPF1	1	YIPF1	
YIPF7	1	YIPF7	
HCAR2	1	HCAR2	
HCAR1	1	HCAR1	
GPR173	1	GPR173	
RNF121	1	RNF121	
SLC16A13	1	SLC16A13	
GPR183	1	GPR183	
GPR132	1	GPR132	
GPR157	1	GPR157	
RNF175	1	RNF175	
CX3CR1	1	CX3CR1	
ACKR4	1	ACKR4	
ACKR3	1	ACKR3	
ACKR1	1	ACKR1	
GPBAR1	1	GPBAR1	
FAIM2	1	FAIM2	
RHBDD1	1	RHBDD1	
CRLS1	1	CRLS1	
GPR15	1	GPR15	
GPR27	1	GPR27	
GPR25	1	GPR25	
GPR21	1	GPR21	
GPR20	1	GPR20	
GPR32	1	GPR32	
VN1R1	1	VN1R1	
GPR45	1	GPR45	
GPR42	1	GPR42	
GPR52	1	GPR52	
GPR65	1	GPR65	
GPR78	1	GPR78	
GPR85	1	GPR85	
G6PC	1	G6PC	
SSTR2	1	SSTR2	
CLN6	1	CLN6	
SLC37A4	1	SLC37A4	
PTGDR	1	PTGDR	
PLPP3	1	PLPP3	
PTGFR	1	PTGFR	
OPN5	1	OPN5	
BDKRB1	1	BDKRB1	
S1PR2	1	S1PR2	
LTB4R	1	LTB4R	
CNR2	1	CNR2	
MRGPRF	1	MRGPRF	
XKR9	1	XKR9	
SLC38A11	1	SLC38A11	
ZDHHC19	1	ZDHHC19	
MFSD3	1	MFSD3	
HACD1	1	HACD1	
ZDHHC7	1	ZDHHC7	
SLC52A1	1	SLC52A1	
CXCR5	1	CXCR5	
CXCR4	1	CXCR4	
CXCR6	1	CXCR6	
CXCR1	1	CXCR1	
