NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KRTAP19-6	1	KRTAP19-6	
OR5M8	1	OR5M8	
OR5A2	1	OR5A2	
PSENEN	1	PSENEN	
OR2L8	1	OR2L8	
OR5A1	1	OR5A1	
OR5AC2	1	OR5AC2	
OR51I2	1	OR51I2	
OR13H1	1	OR13H1	
OR7G1	1	OR7G1	
EMP3	1	EMP3	
TAS2R60	1	TAS2R60	
SELENOI	1	SELENOI	
OR10A6	1	OR10A6	
OR7A10	1	OR7A10	
TMEM140	1	TMEM140	
TAS2R9	1	TAS2R9	
OR8B3	1	OR8B3	
SLC38A8	1	SLC38A8	
OR10H4	1	OR10H4	
OR4N5	1	OR4N5	
OR7G3	1	OR7G3	
PIGM	1	PIGM	
MT-CO3	1	MT-CO3	
TM4SF18	1	TM4SF18	
OR9A2	1	OR9A2	
OR4C6	1	OR4C6	
TAS2R5	1	TAS2R5	
DEFB133	1	DEFB133	
TAAR5	1	TAAR5	
OR4C46	1	OR4C46	
TMEM50B	1	TMEM50B	
OR2AG1	1	OR2AG1	
OR4N2	1	OR4N2	
OR5D13	1	OR5D13	
OR6C4	1	OR6C4	
OR51D1	1	OR51D1	
OR5B12	1	OR5B12	
OR52N5	1	OR52N5	
OR8G1	1	OR8G1	
OR1J2	1	OR1J2	
OR11A1	1	OR11A1	
GPR141	1	GPR141	
TMEM220	1	TMEM220	
MT-ND4	1	MT-ND4	
TAS2R46	1	TAS2R46	
OR6X1	1	OR6X1	
OR6B3	1	OR6B3	
SCGB3A1	1	SCGB3A1	
MT-ATP6	1	MT-ATP6	
OR2J2	1	OR2J2	
RHD	1	RHD	
OR2J3	1	OR2J3	
PAQR4	1	PAQR4	
OR2L13	1	OR2L13	
OR51M1	1	OR51M1	
OR51V1	1	OR51V1	
OR4D1	1	OR4D1	
OR4K17	1	OR4K17	
OR51A2	1	OR51A2	
OR5H2	1	OR5H2	
MYADML2	1	MYADML2	
OR8J1	1	OR8J1	
