id,tmp
3LSNA,False
1IZCA,False
2CCVA,False
3TYTA,False
5XWCA,False
1WD3A,False
1GNYA,False
5N4AA,False
3RC3A,False
2YKZA,False
1NKGA,False
6OD2A,False
1Y63A,False
4WCKA,False
5A99A,False
1XD7A,False
6BUBA,False
3C5VA,False
5GT1A,False
6FJVA,False
2FQXA,False
6HQPA,False
2B69A,False
1E6UA,False
2XOVA,True
5IDVA,False
3QV0A,False
4QDCA,False
2WXYC,False
3BJAA,False
6A5BA,False
2PBEA,False
4MV4A,False
2FB6A,False
3LI9A,False
2H7OA,False
4WBYA,False
6GKEA,False
2YSKA,False
5LDVA,False
4XE7A,False
5CHHA,False
4RAAA,False
5EQ7A,False
1M1SA,False
5W0HA,False
3EFGA,False
2YZYA,False
3TG2A,False
1RMGA,False
4I0OA,False
4ZMIA,False
1MJ5A,False
5U2LA,False
6PI9A,False
3C70A,False
1WVFA,False
1WL8A,False
6CTZA,False
2FBIA,False
3OO8A,False
6GV8A,False
3ZUIA,False
6IDPA,True
2XDHA,False
5Z1NA,False
3ONHA,False
3GJYA,False
3MDQA,False
4Y7UA,False
4PZ1A,False
4RJWA,False
1Y0KA,False
2P5KA,False
1W6KA,False
4MB7A,False
5Z42A,False
5AOZA,False
5KUXA,False
4BA0A,False
4K7RA,False
5UUJA,False
3O4PA,False
4HD1A,False
3CHMA,False
3NW4A,False
2BBRA,False
5A9TA,False
4NI6A,False
4A56A,False
3ZCOA,False
3ERBA,False
6GG1A,False
5L16A,False
3AMRA,False
2RKHA,False
4S28A,False
5BX1A,False
6EVUA,False
1NJRA,False
6MOSA,False
1HH8A,False
2BKFA,False
5XHBA,False
3SHQA,False
3U64A,False
3KFFA,False
5K2LA,False
2QXFA,False
4WD1A,False
3R1KA,False
3GG7A,False
6DNMA,False
2HC8A,False
1YWFA,False
4HSPA,False
5N4IA,False
6C4QA,False
3P2MA,False
2PW6A,False
4CZGA,False
3VVVA,False
3WKXA,False
1S29A,False
3AKSA,False
5ODJA,False
6NVPA,False
4RP9A,True
4JB3A,False
3SQZA,False
1XIPA,False
1H12A,False
5W5PA,False
6FOAA,False
2RIQA,False
4FQEA,False
3MCXA,False
2FSQA,False
5D6EA,False
4XDUA,False
3IUUA,False
4RELA,False
4PKMA,False
3SNKA,False
1XMXA,False
3OOUA,False
1P90A,False
1NKOA,False
4YDSA,False
3W1EA,False
4A29A,False
4MK6A,False
4OVYA,False
2O0MA,False
4YPCA,False
4ACOA,False
4DT4A,False
5NM4A,True
3I7AA,False
1N40A,False
3QFTA,False
6RRAA,False
2QSVA,False
1O8XA,False
1XG8A,False
4IL7A,False
4YQDA,False
6HMQA,False
3SK9A,False
1K3IA,False
5VOGA,False
4A0PA,False
3BQ3A,False
6AY8A,False
4HHJA,False
1PZ4A,False
4N2KA,False
2YB1A,False
4AC1X,False
2CVEA,False
4LGYA,False
4DPBX,False
2BSYA,False
2X9OA,False
1VSRA,False
5XTUA,False
6HYOA,False
3UIMA,False
3H1DA,False
4L8AA,False
1LO7A,False
4DCMA,False
16VPA,False
3GHJA,False
4C6AA,False
1I8AA,False
3OSEA,False
1KQ3A,False
3F7SA,False
3VY8X,False
1X6ZA,False
3E2OA,False
6JJ4A,False
1V33A,False
5EJYA,False
4G3NA,False
5D78A,False
2OZHA,False
4QRLA,False
2R9FA,False
3CRRA,False
1RT8A,False
2XWVA,False
6QLHA,False
4GWBA,False
2W5QA,False
2ETBA,False
5AOGA,False
5VFZA,False
4XOTA,False
4JQFA,False
2J8KA,False
2V7FA,False
5IS2A,False
4L2HA,False
2GZSA,False
5LW3A,False
3T9WA,False
2P65A,False
6MICA,False
3L9AX,False
3R3QA,False
5TGQA,False
1EDZA,False
1PEQA,False
6REKA,False
5TWBA,False
4R9FA,True
1QG8A,False
1RV9A,False
4LF0A,False
1LFWA,False
3TDGA,False
2IQCA,False
4W9WA,False
5OPGA,False
3BPTA,False
1VMBA,False
6N4LA,False
4KRRA,False
3H0NA,False
1JYEA,False
6RM0A,False
2Z6OA,False
2V03A,False
5EZQA,False
2FD4A,False
4KG0A,False
6GSZA,False
5A67A,False
4E9SA,False
4Y04A,False
4MYMA,False
6EOZA,False
5UWZA,False
6OSXA,False
6H4DA,False
4TQXA,False
4NPDA,False
4LUNU,False
4YWFA,False
6P3PA,False
5EDJA,False
1RCYA,False
5A8JA,False
5E75A,False
4DNDA,False
5HGZA,False
2X49A,False
3POWA,False
3AKEA,False
3OM0A,False
3L00A,False
2B9EA,False
3PHHA,False
5BXGA,False
4K7BA,False
2FG1A,False
