NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CDH19	1	CDH19	
CDH7	1	CDH7	
CATSPER2	1	CATSPER2	
SLC5A4	1	SLC5A4	
PPP1R3F	1	PPP1R3F	
UTP14C	1	UTP14C	
PGAP6	1	PGAP6	
SLCO4A1	1	SLCO4A1	
RNF19B	1	RNF19B	
CDH6	1	CDH6	
SLC22A23	1	SLC22A23	
XKR7	1	XKR7	
SLCO1C1	1	SLCO1C1	
SLC6A11	1	SLC6A11	
SLC6A2	1	SLC6A2	
FAM161B	1	FAM161B	
CDH12	1	CDH12	
SLC7A2	1	SLC7A2	
FLVCR1	1	FLVCR1	
CD248	1	CD248	
UTP14A	1	UTP14A	
FOXK1	1	FOXK1	
LRRC8E	1	LRRC8E	
ANO9	1	ANO9	
CDH5	1	CDH5	
GRAMD1B	1	GRAMD1B	
SLC7A4	1	SLC7A4	
CDH8	1	CDH8	
RNF43	1	RNF43	
SLCO2B1	1	SLCO2B1	
SLC23A2	1	SLC23A2	
TXLNB	1	TXLNB	
CNNM4	1	CNNM4	
SLCO1B1	1	SLCO1B1	
SLC5A8	1	SLC5A8	
APP	1	APP	
SLC28A3	1	SLC28A3	
ALG9	1	ALG9	
LRP10	1	LRP10	
SLC5A7	1	SLC5A7	
RFWD3	1	RFWD3	
SLC9A9	1	SLC9A9	
SLCO2A1	1	SLCO2A1	
PWWP3B	1	PWWP3B	
SLC15A2	1	SLC15A2	
PTCHD3	1	PTCHD3	
SLCO1B3	1	SLCO1B3	
SLC6A1	1	SLC6A1	
SLC34A2	1	SLC34A2	
PDZD4	1	PDZD4	
TRPC1	1	TRPC1	
STT3A	1	STT3A	
ABCD1	1	ABCD1	
TMCO3	1	TMCO3	
SLC6A14	1	SLC6A14	
SLC26A5	1	SLC26A5	
E4F1	1	E4F1	
SLC26A3	1	SLC26A3	
SLC6A6	1	SLC6A6	
TMEM87A	1	TMEM87A	
TSGA10	1	TSGA10	
SASS6	1	SASS6	
PTH1R	1	PTH1R	
SLC6A3	1	SLC6A3	
CLCC1	1	CLCC1	
TRPV2	1	TRPV2	
SLC26A2	1	SLC26A2	
SLC6A13	1	SLC6A13	
VEZT	1	VEZT	
TBC1D12	1	TBC1D12	
SLCO1A2	1	SLCO1A2	
SLC19A1	1	SLC19A1	
SLC15A5	1	SLC15A5	
TMEM121B	1	TMEM121B	
TM9SF4	1	TM9SF4	
SLC28A1	1	SLC28A1	
ADGRG7	1	ADGRG7	
FZD3	1	FZD3	
PKD2L2	1	PKD2L2	
CCDC38	1	CCDC38	
YY1AP1	1	YY1AP1	
XPR1	1	XPR1	
CLCNKB	1	CLCNKB	
SPIRE1	1	SPIRE1	
SLC7A3	1	SLC7A3	
BEST3	1	BEST3	
FAM189A1	1	FAM189A1	
CDH9	1	CDH9	
TM9SF2	1	TM9SF2	
LBR	1	LBR	
OTOP1	1	OTOP1	
SV2A	1	SV2A	
TRPV6	1	TRPV6	
LEMD2	1	LEMD2	
SART1	1	SART1	
DOLK	1	DOLK	
SLC5A10	1	SLC5A10	
KCNN2	1	KCNN2	
SLC6A4	1	SLC6A4	
SLC20A1	1	SLC20A1	
TLK1	1	TLK1	
ZDHHC13	1	ZDHHC13	
LMBRD1	1	LMBRD1	
DNAJC14	1	DNAJC14	
TMEM266	1	TMEM266	
SOAT1	1	SOAT1	
RNF180	1	RNF180	
SLC20A2	1	SLC20A2	
SLC34A1	1	SLC34A1	
KRT3	1	KRT3	
SLC26A7	1	SLC26A7	
SLC24A2	1	SLC24A2	
TAP2	1	TAP2	
ADRA1D	1	ADRA1D	
ABLIM3	1	ABLIM3	
TM9SF3	1	TM9SF3	
CLCNKA	1	CLCNKA	
KCNA4	1	KCNA4	
SLC26A1	1	SLC26A1	
CDHR4	1	CDHR4	
RXFP1	1	RXFP1	
KCND3	1	KCND3	
TRPV3	1	TRPV3	
PANX2	1	PANX2	
SLC47A1	1	SLC47A1	
XRRA1	1	XRRA1	
GPR176	1	GPR176	
TMEM39A	1	TMEM39A	
SLC15A1	1	SLC15A1	
TLK2	1	TLK2	
KCND1	1	KCND1	
GPR107	1	GPR107	
CDH11	1	CDH11	
SLC26A11	1	SLC26A11	
GRAMD1A	1	GRAMD1A	
C2CD2	1	C2CD2	
MT-ND5	1	MT-ND5	
MARVELD2	1	MARVELD2	
WLS	1	WLS	
FZD8	1	FZD8	
GHR	1	GHR	
SLC47A2	1	SLC47A2	
ABLIM1	1	ABLIM1	
SLC6A19	1	SLC6A19	
SLC28A2	1	SLC28A2	
SLC6A7	1	SLC6A7	
